"Pilot Name","First Name","Rank","Victories","Jagdgeschwader","Remarks","Awards","References"
"Desinger","Willi","Uffz.","  7","EJG 1",,,"FB"
"Richter","Ernst","Uffz.","  7","KG(J) 54",,,"Foreman/Harvey, Me 262 Combat Diary"
"Schulze","Heinz","Uffz.","  5","JG 2",,,"A/J, Fw 190 in North Africa"
"Müller","Erwin","Ltn."," 21+","JG 77, JG 7","378 ff",,"O.K.L. Fighter Claims; Prien, JG 77; Boehme, JG 7; Foreman/Harvey, Me262 Combat Diary"
"Sommer","Bodo","Ltn.","  5","ZG 26","POW on 7.Oct.40 after Luftkampf. (Maybe only 3)",,"O.K.L. Fighter Claims"
"Müller","Fritz R.G.","Ltn."," 23","JG 53, JG 7",,,"O.K.L. Fighter Claims; Prien, JG 53, III; Boehme, JG 7; Foreman/Harvey, Me262 Combat Diary"
"Müller","Hans-Volkmar","Ltn.","  9","JG 53","MIA on 5.Sep.42 after Luftkampf with Spitfire.",,"O.K.L. Fighter Claims; Prien/Bock; Prien, JG 53, II"
"Müller","August","Ofw."," 49","JG 51","KIA on 6.Apr.45. (Gustl? Gustav?)","DK","Aders/Held, JG 51"
"Ott","Siegfried","Fw."," 12","JG 77","POW on 15.Dec.42 after Luftkampf with P-40.",,"O.K.L. Fighter Claims; Prien, JG 77, III"
"Müller",,"Oblt.","  6~","JG 51",,,"Aders/Held, JG 51"
"Raab","H.","Uffz.","  6","JG 3","MIA on 1.May.45 after Luftkampf.",,"Prien, IV./JG 3"
"MÜLLER","Rudolf","Ofw."," 94","JG 77, JG 5","POW on 19.Apr.43 after Luftkampf.","RK","Prien/Bock; Obermaier p.171"
"Wittke","Paul","Ofw.","  8","JG 27","KIA on 22.Feb.45 in Luftkampf.",,"Prien/Rodeike/Stemmer, III. & IV./JG 27"
"Müller","Kurt","Oblt.","  5","JG 26","Stkp. KIA on 19.Dec.42.",,"Priller, JG 26"
"Tonn","Wolfgang","Oblt."," 10~","NJG 1","KIA in 12.44. (No loss record!!)",,"Aders, History of the German Night Fighter Force 1917-1945"
"Wulff","Ulrich","Oblt.","  8","NJG 5","KIFA on 16.Dec.43. Only 3 listed.",,"O.K.L. Fighter Claims; LW NF Claims 39-45; Aders, History of the German Night Fighter Force 1917-1945"
"Schubert","Hans","Uffz.","  5+","ZG 76, JG 1",,,"Prien/Rodeike, JG 1 & 11, I"
"Prittwitz","Hans-Henning von","Oblt.","  8","JG 77",,,"Prien/Bock; Prien, JG 77, IV"
"Müller","Gustl","Uffz."," 14","JG 51","(Gustav?)",,"O.K.L. Fighter Claims; Prien/Bock; Aders/Held, JG 51"
"Müller","Robert","Oblt.","  7","JG 2, JG 1","Are these two Roberts one and the same??",,"Prien/Rodeike, JG 1 & 11, I; Girbig, JG 5, Soldbuch via Jewison"
"Müller","Siegfried","Ofw."," 35","JG 54, JG 26",,"DK","O.K.L. Fighter Claims; Scutts, JG 54"
"Müller","Robert","Oblt."," 11","JG 26, JG 77, JG 5","MIA on 17.Jul.44.",,"Girbig, JG 5; Frappé, La LW face au débarquement allié, p.307"
"Müller","Hans-Hermann","Hptm."," 10","NJG 3",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Müller","Hermann","Ltn.","  6","NJG 2",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Müller","Siegfried","Ltn."," 17","JG 51, Sturmst. 1, JG 3, JG 7",,,"O.K.L. Fighter Claims; Aders/Held, JG 51; Prien, IV./JG 3; Boehme, JG 7; Foreman/Harvey, Me262 Combat Diary; Mombeek, Sturmstaffel 1"
"Wirtz","Ludwig","Ltn."," 20","NJG 1, NJG 2, Luftbeob.St. 3","Only 1 listed!!","DK","LW NF Claims 39-45; Aders, History of the German Night Fighter Force 1917-1945; Rökker, I./NJG 2, p.140; M. Hogenius"
"Müller","Hermann","Ltn."," 10","JG 27, JG 7",,,"Ring/Girbig, JG 27; Prien/Rodeike/Stemmer, II./JG 27; Boehme, JG 7; Foreman/Harvey, Me262 Combat Diary"
"Müller","Herbert","Uffz.","  6","JG 301, JG 7","KIA on 27.Mar.45. (Did he actually fly with JG 7?)",,"Reschke, JG 301/302 'Wilde Sau', p.216; Boehme, JG 7; Foreman/Harvey, Me262 Combat Diary"
"Muller","Hans","Oblt."," 15-20","NJG 3",,"DK","Aders, History of the German Night Fighter Force 1917-1945"
"Havenstein","Klaus","Major"," 10~","NJG 3","KIA on 23.Sep.44.",,"Aders, History of the German Night Fighter Force 1917-1945"
"Moldenhauer","Harald","Hptm.","  9","KG2, JG 3, JG 1",,,"O.K.L. Fighter Claims; Prien/Bock; Prien/Rodeike, JG 1 & 11, III; Prien/Stemmer, II./JG 3"
"MÖBUS","Martin","Major",,"St.G.1, SG5","KIAcc on 2.Jun.44. 60+ pz, 800~ ff.","EL","Obermaier, II, p.65"
"Möller","Klaus","Ofw."," 14","NJG 3, NJG 2","Only 10 listed.","DK?","O.K.L. Fighter Claims; LW NF Claims 39-45; Aders, History of the German Night Fighter Force 1917-1945"
"Möckel","Wolfram","Ltn."," 10","NJG 2, NJG 4","Only 5 listed.","EP","O.K.L. Fighter Claims; LW NF Claims 39-45; Aders, History of the German Night Fighter Force 1917-1945"
"Mittermaier","Alfons","Ltn."," 12","JG 51","MIA on 18.Jul.43.",,"O.K.L. Fighter Claims; Aders/Held, JG 51"
"Mix","Erich","Major Dr.","  6","JG 53, JG 2, Fhr.d.JagdKr., JG 1",,,"O.K.L. Fighter Claims; Prien/Bock"
"Mockel","Wilhelm","Ltn.","  8","JG 77",,,"Prien, JG 77, IV"
"MODROW","Ernst-Wilhelm","Hptm."," 34","KGzbV108, NJG 1","259 ff, 109 as Nachtjäger.","RK","O.K.L. Fighter Claims; LW NF Claims 39-45; Obermaier, p.170"
"Mohr","Gustav","Ltn.","  5","JG 301?, NJG 11","WIA on 13.Dec.44.",,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Morenz","Rudolf","Fw.","  7","NJG 2",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Wolf","Hermann","Ltn.","  6","JG 53",,,"Prien, JG 53, III"
"Adrian","Ulrich","Ltn.","  4","JG 2","KIFA on 5.Oct.41.",,"O.K.L. Fighter Claims; Prien/Bock"
"Müller","Hans","Ofw.","  8","JG 301",,,"O.K.L. Fighter Claims; Reschke, JG 301/302, p.244"
"Müller","Hugo","Ofw.","  5","JG 300, JG 102, Skdo.Elbe",,," Weir, The Last Flight of the Luftwaffe"
"Müller","Rudolf","Ltn.","  9","JG 53","KIA on 13.Jul.42 in Luftkampf with P-40.",,"Prien, JG 53, II"
"Schmude","Hotari","Hptm.","  5","ZG 76, JG 51",,,"O.K.L. Fighter Claims"
"Müller","Alfred","FhjOfw."," 16","JG 27","KIA on 16.Aug.44 in Luftkampf. 4 Viermots","DK","O.K.L. Fighter Claims; Ring/Girbig, JG 27; Prien/Rodeike/Stemmer, II./JG 27"
"Vogel","Michael","Uffz."," 22","JG 3","MIA 1.Aug.42? Or WIA 1.Feb.45?",,"O.K.L. Fighter Claims; Prien/Stemmer, II./JG 3"
"Vogel",,"Uffz."," 10","JG 77",,,"O.K.L. Fighter Claims; Prien/Bock; Prien, JG 77, IV"
"Vogel","Dietrich","Fw.","  5","JG 77",,,"O.K.L. Fighter Claims; Prien, JG 77, IV"
"Vogel","Helmut","FhjOfw."," 10","JG 53",,,"O.K.L. Fighter Claims; Prien, JG 53, III"
"Wolf","Robert","Ltn."," 21","NJG 5","KIA 23.Apr.44 in Luftkampf.","DK","O.K.L. Fighter Claims; LW NF Claims 39-45; Aders, History of the German Night Fighter Force 1917-1945"
"Volkmer","Fridolin","Uffz.","  5","I(J)/LG 2",,,"Prien, JG 77, IV"
"Weihe","Hermann","Ltn.","  7~","NJG 100","KIA on 19.Apr.45. Only 4 listed.",,"O.K.L. Fighter Claims; LW NF Claims 39-45; Aders, History of the German Night Fighter Force 1917-1945"
"Müller","Kurt","Oblt.","  7","ZG2","Stfhr. POW on 3.Sep.40.",,"Zerstorer, p.168"
"Müller","Wilhelm","Ofw.","  5","JG 54, JG 26","KIA on 7.Oct.44 in Luftkampf with Spitfires from 442 Sq.",,"O.K.L. Fighter Claims; Frappé, La LW face au débarquement allié, p.311; Caldwell, JG 26"
"Böes","Ludwig","Ofhr.","  9","JG 54","Killed in crash on 26.Jan.45.",,"O.K.L. Fighter Claims"
"Böhner","Otto","Oblt.","  9","JG 53, JG 400",,,"Prien, JG 53, III"
"Bolze","Heinz","Ltn.","  5","JG 2","KIA on 24.Jun.41 in Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock; Ring, JG 2 loss list"
"Begusch",,"Uffz.","  5","JG 52","(May have gone to JG 1 where a Bogusch claimed several.)",,"O.K.L. Fighter Claims"
"BLÜMEL","Josef","Fw.",,"SG 1, SG 3","KIA on 19.Sep.44. 60 pz, 150~ ff","RK","Obermaier, II, p.88"
"Borgmeyer",,"Uffz."," 11","JG 52",,,"O.K.L. Fighter Claims"
"Brachmeyer","Paul","Uffz."," 13","JG 52","KIA on 26.Aug.44 due to Flak.",,"O.K.L. Fighter Claims"
"BALTHASAR","Wilhelm","Major"," 47","J/88, JG 1, JG 27, JG 3, JG 2","KIA on 3.Jul.41 in Luftkampf. (only 46 listed.)","EL","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.45; Ries, Legion Condor"
"ALBRECHT","Egon","Hptm."," 25","ZG 76, SKG210, ZG 1, JG 76","KIA on 25.Aug.44. 5 Viermots","RK","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.81"
"Altendorf","Heinz","Oblt."," 24","JG 53","Stkp. POW on 16.Dec.41 due to Flak.","DK","O.K.L. Fighter Claims; Prien/Bock"
"Böttcher","Herbert","Hptm."," 25","JG 2, JG 77","Injured on 9.Apr.44.",,"O.K.L. Fighter Claims; Prien/Bock; Prien, JG 77, IV, p.1921"
"BECKER","Martin","Hptm."," 58","NJG 4, NJG 6","9 vic on 14./15.Mar.45. 110ff, 27 as Aufklarer","EL","O.K.L. Fighter Claims; LW NF Claims 39-45; Obermaier, p.74"
"Anlauf","Robert","Fw."," 10+","JG 52","KIFA on 28.Mar.45.",,"O.K.L. Fighter Claims; Fast, JG 52, IV"
"Bechel","Benno","Ltn.","  5","JG 52",,,"O.K.L. Fighter Claims"
"Kollrep",,"Uffz.","  7","NJG 100",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Beissel","Egon Graf von","Ltn.","  8","JG 77","KIA on 7.Aug.43 in Luftkampf.",,"O.K.L. Fighter Claims; Prien, JG 77, III, p.1688"
"Rathke","Waldemar","Ltn."," 15","NJG 100",,"EP","LW NF Claims 39-45"
"Behrendt","Günther","Oblt.","  9","JG 2","KIA on 14.Jul.43 in Luftkampf with B-17s.",,"O.K.L. Fighter Claims; Prien/Bock"
"Baldos",,"Ofw.","  5","JG 5",,,"O.K.L. Fighter Claims"
"Baten","Kurt","Fw."," 24","JG 52, JG 1, JG 7",,,"O.K.L. Fighter Claims; Prien/Rodeike, JG 1 & 11, III; Boehme, JG 7"
"Brandt","Fritz","Oblt.","  8","NJG 2, NJG 101, NJG 3",,"DK","O.K.L. Fighter Claims; LW NF Claims 39-45"
"AUGENSTEIN","Hans-Heinz","Hptm."," 46","NJG 1","KIA on 6./7.Dec.44 in Luftkamf with RAF intruder.","RK","O.K.L. Fighter Claims; LW NF Claims 39-45Obermaier p.82"
"Toll","Günther","Uffz.","  8","JG 2","Is this Günther? There seems to be exchange between JG 2 & JG 52.",,"O.K.L. Fighter Claims; Prien/Bock"
"Böttner","Karl-Heinz","Fw."," 25","JG 77",,,"O.K.L. Fighter Claims; Prien, JG 77, IV, p.2203"
"BATZ","Wilhelm","Major","237","JG 52","2 Viermots, 445 ff.","S","O.K.L. Fighter Claims; Obermaier, p.41"
"BOB","Han-Ekkehard","Major"," 60","JG 54, JG 51, JG 3, EJG 2, JV 44","700~ ff","RK","O.K.L. Fighter Claims, Prien/Bock; Obermaier p.90; Aders/Held, JG 51"
"Beine","Alfred","Fw.","  6","JG 54","MIA on 23.Dec.44 after Luftkampf.",,"O.K.L. Fighter Claims"
"BORCHERS","Adolf","Major","132","JG 77, JG 51, JG 52","800~ ff.","RK","O.K.L. Fighter Claims; Prien/Bock; Obermaier; Aders/Held, JG 51"
"Ahlbrand","Gustav","Uffz."," 14","JG 52","MIA on 22.Aug.43.",,"O.K.L. Fighter Claims"
"Bartz","Erich","Uffz."," 31","JG 51","KIA on 25.Aug.44.","EP","O.K.L. Fighter Claims; Aders/Held, JG 51"
"Bleyer","Paul","Ofw.","  9","JG 2","POW on 14.Aug.44 after Luftkampf with P-47s.",,"O.K.L. Fighter Claims; Frappé, La LW face au débarquement allié, p.31, 310"
"Autenrieth","Hans","Hptm."," 22","NJG 1, NJG 4","KIA on 6.Dec.44.","DK","O.K.L. Fighter Claims; LW NF Claims 39-45"
"Barte","Walter","Major"," 20","NJG 1, NJG 3",,"DK","O.K.L. Fighter Claims; LW NF Claims 39-45"
"BARTELS","Heinrich","Ofw."," 99","JG 26, JG 5, JG 27","KIA on 23.Dec.44 in Luftkampf with P-47. 500~ ff","RK","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.84; Ring/Girbig, JG 27"
"BEIßWENGER","Hans","Oblt.","152","JG 54","Stkp. MIA on 6.Mar.43. 500+ ff","EL","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.54"
"Bosin","Heinrich","Fw."," 10","JG 54","KIFA on 14.Oct.43.",,"O.K.L. Fighter Claims; Scutts, JG 54"
"BEERENBROCK","Franz-Josef","Ltn.","117","JG 51","POW on 9.Nov.42 after downing 3 fighters. 400~ ff","EL","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.52; Aders/Held, JG 51"
"BÄR","Heinz","Oberstltn.","221","JG 51, JG 77, JG 1, JG 3, EJG2, JV 44","16 w/262, 21 Viermots, 1000~ ff.","S","O.K.L. Fighter Claims; Prien/Bock; Obermaier; Aders/Held, JG 51; Foreman/Harvey, Me262 Combat Diary"
"Bartling","Günther","Uffz."," 11","JG 54","KIA on 19.Feb.42.",,"O.K.L. Fighter Claims; Prien/Bock; Scutts, JG 54"
"BONIN","Hubertus von","Major"," 77","JG 26, JG 54, JG 52","KIA on 15.Dec.43 due to enemy fire. 4 in Spain.","RK","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.91; Ries, Legion Condor"
"BACHNICK","Herbert","Ltn."," 80","JG 52","KIA on 7.Aug.44 in Luftkampf with US fighters. 373 ff","RK","O.K.L. Fighter Claims; Fast, JG 52, IV p.127; Obermaier p.83"
"BADUM","Johann","Ltn."," 54","JG 77","KIA on 12.Jan.43 in Luftkampf with P-38. 300~ ff","RK","O.K.L. Fighter Claims; Prien, JG 77, III, p.1391; Obermaier p.83"
"Brieg","Egon","Uffz.","  5+","JG 2",,,"Ring, JG 2 loss list"
"BARKHORN","Gerhard","Major","301","JG 52, JG 6, JV 44","1104 ff","S","Fast, JG 52, IV, p.125; Obermaier p.35"
"BRENDEL","Joachim","Hptm.","189","JG 51","90+ Il-2s, 950 ff.","EL","O.K.L. Fighter Claims; Obermaier; Aders/Held, JG 51"
"BECKER","Ludwig","Hptm."," 44","ZG 1, NJG 1","KIA on 26.Feb.43.","EL","O.K.L. Fighter Claims; LW NF Claims 39-45; Obermaier p.56"
"Baum","Heinz","Fw."," 29","JG 3","MIA on 12.Dec.42 after Luftkampf with Pe-2.",,"O.K.L. Fighter Claims"
"BONIN","Eckart-Wilhelm von","Major"," 37","NJG 1, NJG 102","2 Viermots in day, 150~ ff","RK","O.K.L. Fighter Claims; LW NF Claims 39-45; Obermaier p.91"
"Angres","Heinz","FhjFw."," 10","JG 3","KIA on 16.Oct.44 in Luftkampf.",,"O.K.L. Fighter Claims; Prien, IV./JG 3, p.345"
"Breukel","Wendelin","Ltn."," 14","NJG 2","KIC on 1.Mar.44.","EP","O.K.L. Fighter Claims; LW NF Claims 39-45"
"Babenz","Emil","FhjOfw."," 24","JG 26, JG 53","KIA on 8.Apr.44.","DK","O.K.L. Fighter Claims; Prien/Bock; Caldwell; Priller, JG 26"
"Adam","Heinz-Gunther","Ltn.","  5","JG 26","KIFA on 20.Dec.42.",,"O.K.L. Fighter Claims; Prien/Bock; Priller, JG 26"
"Brucki","Edmund","Oblt.","  7","JG 3","KIA on 21.Jul.42 in Luftkampf.",,"O.K.L. Fighter Claims; Prien/Stemmer, Stab und I./JG 3, p.525, 553"
"BAUER","Herbert","Major"," 11","St.G. 2, SG 2","51 pz, 1071 ff.","EL","Obermaier, II, p.68"
"BAUER","Konrad","Oblt."," 57","JG 51, JG 3, JG 300","32 Viermots, 416 ff","RK","O.K.L. Fighter Claims; Prien, IV./JG 3; Obermaier p.85"
"BAHR","Günther","Ofw."," 37","ZG 1, NJG 1, NJG 4, NJG 6","35 Viermots at night, 90~ ff at night","RK","O.K.L. Fighter Claims; LW NF Claims 39-45; Obermaier p.84"
"BEIER","Wilhelm","Oblt."," 38","NJG 2, NJG 1","250~ ff","RK","O.K.L. Fighter Claims; LW NF Claims 39-45; Obermaier p.86"
"Born","Karl","Uffz.","  5","JG 1, JG 27","KIA in Luftkampf on 9.Sep.40.",,"Prien/Bock; Ring/Girbig, JG 27"
"Barnikel","Friedrich","Uffz.","  9","JG 52",,,"O.K.L. Fighter Claims; Fast, JG 52"
"Bolte","Karl","Ltn.","  6","JG 3, JG 27","Killed in crash on 20.Apr.44.",,"O.K.L. Fighter Claims; Ring/Girbig, JG 27; Prien/Rodeike/Stemmer, Stab & I./JG 27; Prien/Rodeike/Stemmer, IV./JG 3"
"Bönsch","Herbert","Hptm."," 12","Z/KG 30, NJG 2","Kdr. KIA on 1.Aug.42. 1 as Zerstorer",,"O.K.L. Fighter Claims; LW NF Claims 39-45; Rökker, I./NJG 2, p.141"
"ADEMEIT","Horst","Hptm.","166","JG 54","MIA on 7.Aug.44 probably due to groundfire. 600+ ff","EL","O.K.L. Fighter Claims; Obermaier p 61"
"Brechtl","Josef","Fw."," 27","JG 54","MIA on 6.Jan.43 after Luftkampf.",,"O.K.L. Fighter Claims; Scutts, JG 54"
"Bauer","Ludwig","Oblt."," 12","JG 27","MIA on 6.Jul.44 after Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock; Ring/Girbig, JG 27"
"Becker","Paul","Ltn."," 21","JG 27","Stfhr. MIA on 29.Jun.44 after Luftkampf.",,"O.K.L. Fighter Claims; Prien/Rodeike/Stemmer, III. & IV./JG 27, p.461, 469; Ring/Girbig, JG 27"
"Bohn","Kurt","Fw.","  5","JG 26","KIA on 25.Apr.42.",,"O.K.L. Fighter Claims; Prien/Bock; Priller, JG 26"
"Bachhuber","Fridolin","Fw."," 11","JG 54","MIA on 1.Jan.45.",,"O.K.L. Fighter Claims; Scutts, JG 54"
"Bössenecker","Joseph","Fw.","  5","JG 5",,,"O.K.L. Fighter Claims"
"Beese","Artur","Oblt."," 22","JG 26","Stkp. KIA on 6.Feb.44.","DK","O.K.L. Fighter Claims; Prien/Bock; Caldwell; Priller, JG 26"
"Brenner","Heinrich","Ofw."," 12","JG 3","KIA on 7.Sep.41 in Luftkampf.",,"Prien/Bock"
"Baumann","Lothar","Hptm."," 15","JG 77","Kdr. KIA on 24.Dec.44 in Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock; Prien, JG 77, IV, p.2226"
"BORRIS","Karl","Major"," 43","JG 26","Kdr. 4 Viermots","RK","O.K.L. Fighter Claims; Prien/Bock; Caldwell; Obermaier p.93; Priller, JG 26"
"BAAGOE","Sophus","Oblt."," 14","ZG 26","KIA on 14.May.41 by Flak. 95 ff","RK","O.K.L. Fighter Claims; Obermaier p.82"
"Altner","Herbert","Ltn."," 25","NJG 3, NJG 5, NJG 11",,"DK","O.K.L. Fighter Claims; LW NF Claims 39-45"
"Altendorf","Rudolf","Hptm."," 24","V/LG 1, NJG 3, NJG 4, NJG 5","2 as Zerstrorer.","DK","O.K.L. Fighter Claims; Taghon; LW NF Claims 39-45"
"Böker","Burchard","Oblt."," 16","JG 77","MIA on 30.Dec.42 after Luftkampf with Spitfire.",,"O.K.L. Fighter Claims; Prien, JG 77, III, p.1379"
"Bauer","Franz","Hptm.","  9","JFS 5, JG 53","KIA on 9.Jul.44 in Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock"
"Becker","Walter","Ltn.","  5","JG 5, JG 3","KIA on 2.Nov.44 in Luftkampf.",,"O.K.L. Fighter Claims"
"Villforth",,"Uffz.","  8","NJG 2",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Aisleitner","Johann","Oblt."," 13","JG 26","Stkp. KIA on 14.Jan.44.",,"O.K.L. Fighter Claims; Prien/Bock; Caldwell; Priller, JG 26"
"Briegleb","Walter","Oblt."," 25","NJG 3, NJG 2",,"DK","O.K.L. Fighter Claims; LW NF Claims 39-45"
"Ahrens","Peter","Ltn."," 11","JG 26","KIFA on 4.Mar.45.",,"O.K.L. Fighter Claims; Prien/Bock; Caldwell; Priller, JG 26"
"Braune","Erhard","Oblt."," 14","JG 27","Kdr.",,"O.K.L. Fighter Claims; Prien/Bock"
"Braunshirn","Georg","Ofw."," 18","J/88, JG 54","KIA on 16.Aug.41 in Luftkampf. 5 in Spain.",,"O.K.L. Fighter Claims; Prien/Bock; Ries, Legion Condor"
"Andres","Werner","Hptm.","  5","JG 27, JG 3","Kdr. Injured on 28.Aug.41.",,"O.K.L. Fighter Claims; Prien/Bock"
"BAUER","Viktor","Oblt.","106","JG 51, JG 3","Stkp. WIFA on 10.Aug.42. 400~ ff","EL","O.K.L. Fighter Claims; Prien/Bock; Obermaier, p.52"
"Beckmann","Erich","Ltn.","  9","JG 53","WIA on 26.Jun.42. DOW on 11.Sep.42.",,"O.K.L. Fighter Claims; Prien/Bock; Prien, JG 53, II, p. 611"
"Borchers","Hans-Jürgen","Oblt.","  5","JG 3",,,"Prien/Bock"
"BOREMSKI","Eberhard von","Hptm.","104","JG 3, EJG 1","630 ff","RK","O.K.L. Fighter Claims; Prien/Bock; Prien, IV./JG 3, p.338; Obermaier p.92"
"BRANDT","Walter","Ltn."," 42","I(J)/LG2, JG 77, JG 3","WIA on 3.Mar.45. 527 ff","RK","O.K.L. Fighter Claims; Prien/Bock; Prien/Stemmer, Stab & I./JG 3, p.564; Obermaier p.93"
"Andel","Peter","Ltn.","  6","JG 26",,,"Caldwell, JG 26 List; Priller, JG 26"
"BAAKE","Werner","Hptm."," 43","NJG 1","195 ff","RK","O.K.L. Fighter Claims; LW NF Claims 39-45; Obermaier p.83"
"Bartsch","Eduard","Uffz.","  8","JG 3","KIA on 20.Oct.43 in Luftkampf.",,"O.K.L. Fighter Claims"
"Bärsdorf","Gerhard-Alfred","Ltn.","  7","Kdo.Herr, JG 300",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Brandt","Josef","Fw.","  5","JG 3",,,"O.K.L. Fighter Claims; Prien, IV./JG 3, p.358"
"Baudach","Helmut","Ofw."," 18","JG 2, Epro.Kdo 262, Kdo. Nowo, JG 7","KIA on 22.Feb.45. 5+ in Me 262.",,"O.K.L. Fighter Claims; Prien/Bock; Boehme, JG 7; Foreman/Harvey, Me262 Combat Diary"
"Bartosch","Hieronymus","Uffz."," 14","JG 51","KIA on 21.Feb.44.",,"O.K.L. Fighter Claims; Aders/Held, JG 51"
"Boos","Hans","Oblt."," 41","JG 3, JG 51","KIA on 21.Apr.43 in Luftkamp.","DK","O.K.L. Fighter Claims; Prien/Bock; Aders/Held, JG 51"
"Brock","Horst","Ltn."," 17","JG 3","KIA on 3.Nov.43 in Luftkampf.",,"O.K.L. Fighter Claims"
"Breuer","Wilhelm","Oblt.","  5","JG 54",,,"O.K.L. Fighter Claims; Prien/Bock"
"Bolz","Kurt","Uffz.","  5","JG 3",,,"O.K.L. Fighter Claims"
"Aloé","Herbert","Hptm."," 34","JG 54","MIA on 21.Jun.44.","DK","O.K.L. Fighter Claims; Scutts, JG 54"
"Bock","Heinz","Ltn.","  5","NJG 101, NJG 1",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Kehrberg",,"Ltn.","  5","NJG 102",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Baun","Albrecht","Fw.","  5","JG 53","MIA on 25.Aug.40 after Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock"
"Beckh","Gerhard","Oblt."," 12","JG 51","KIFA on 11.Jan.44.",,"O.K.L. Fighter Claims; Prien/Bock"
"Belling","Rüdiger","Ltn.","  5","I(J)/LG 2, JG 77","MIA on 16.Apr.43 after Luftkampf.",,"Prien/Bock; Prien, JG 77"
"Adam","Hans","Ltn."," 10","JG 51, EJG1","KIA on 12.Mar.45 in Luftkampf.",,"O.K.L. Fighter Claims; Aders/Held, JG 51"
"Aspern","Roloff von","Oblt."," 18","JG 54","Stkp. MIA on 17.Nov.40 after Luftkampf with Spitfires.",,"O.K.L. Fighter Claims; Prien/Bock"
"Allmenröder","Günther","Fw.","  6","JG 1, JG 51","POW on 17.Jan.43 after Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock"
"Altmann",,"Uffz.","  5","NJG 4",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Bochmann","Horst","Uffz."," 14","JG 77","MIA on 1.Aug.41 after Luftkampf.",,"Prien/Bock"
"Baier",,"Uffz.","  6","KG 51",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Boddem","Peter","Ltn."," 10","J/88",,,"Legion Condor"
"Schenk","Friedrich-Wilhelm","Ofhr.","  5","JG 300",,,"O.K.L. Fighter Claims"
"Bolz","Helmut-Felix","Major"," 24","JG 2","3 in Spain.",,"O.K.L. Fighter Claims; Prien/Bock; Ries, Legion Condor"
"Breitfeld",,"Oblt.","  9","NJG 5",,,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Breves","Adolf","Hptm."," 17","NJG 1",,"DK","O.K.L. Fighter Claims; LW NF Claims 39-45"
"Brinkmann","Fritz","Hptm."," 16","NJG 3",,"DK?","O.K.L. Fighter Claims; LW NF Claims 39-45"
"Brunner","Josef","Fw.","  7","NJG 1, NJG 6","MIA 26.Mar.45.",,"O.K.L. Fighter Claims; LW NF Claims 39-45; Kock, Das Kriegstagebuch des NJG6"
"BARTEN","Franz","Oblt."," 52","JG 51, JG 53","KIA on 4.Aug.44 after Luftkampf with P-47s. 895 ff","RK","O.K.L. Fighter Claims; Prien/Bock; Obermaier p.85; Aders/Held, JG 51"
"Blum","Christoph","Uffz.","  6","JG 302, JG 301",,,"O.K.L. Fighter Claims; Reschke, JG 301/302, p.238"
"Arnoldy","Jakob","Ltn.","  4","JG 77","WIA on 15.Apr.41. DOW.",,"O.K.L. Fighter Claims; Prien/Bock"
"Augustin","Jakob","Ltn."," 15","JG 2","MIA on 15.Jul.42 after Luftkampf.",,"O.K.L. Fighter Claims; Prien/Bock"
"Jank","Wolfgang","Oblt."," 12","NJG 3, NJSchw/JG 54, NJG 200","5 with JG 54. Same guy as NJG 200?",,"O.K.L. Fighter Claims; LW NF Claims 39-45"
"Borreck","Hans-Joachim","Uffz.","  6","JG 26","KIA on 6.Nov.44 due to Flak.",,"O.K.L. Fighter Claims; Priller, JG 26; Caldwell, JG 26 War Diary, II, p.376"
"Brücher","Heinrich","Fw."," 14","JG 51, JG 54","KIA on 31.Jan.44 due to own Flak.",,"O.K.L. Fighter Claims; Aders/Held, JG 51"
"Bornemann","Karl-Heinz","Uffz.","  5","JG 54","MIA on 30.Nov.41 due to enemy action.",,"O.K.L. Fighter Claims; Prien/Bock"
"Balfanz","Wilfried","Oblt.","  8","JG 53, JG 51","MIA on 24.Jun.41 in Luftkampf with SB-3.",,"O.K.L. Fighter Claims; Prien/Bock"
