"unit","rd","unit_type","total_kills","pilots_w_kills","aces","gt_20","entries","exits","ace_entries","ace_exits","sum_claims","date"
"JG 77",0,"JG",1614,95,59,21,0,0,0,0,0,1943-08-06
"JGr. Ost",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-06
"Kdo.Herr.",0,"JG",14,9,0,0,0,0,0,0,0,1943-08-06
"KG 40",0,"JG",53,13,5,0,0,0,0,0,0,1943-08-06
"LG 2",0,"JG",22,6,2,0,0,0,0,0,0,1943-08-06
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-06
"NAG 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-06
"NAG 4",0,"JG",11,1,1,0,0,0,0,0,0,1943-08-06
"NAGr. 4",0,"JG",4,2,0,0,0,0,0,0,0,1943-08-06
"NJG 1",1,"NJG",957,64,48,15,0,0,0,0,0,1943-08-06
"NJG 100",0,"NJG",24,3,2,0,0,0,0,0,0,1943-08-06
"NJG 101",0,"NJG",6,2,1,0,0,0,0,0,0,1943-08-06
"NJG 2",1,"NJG",81,12,8,0,0,0,0,0,0,1943-08-06
"NJG 200 (ZG 1)",0,"ZG",18,1,1,0,0,0,0,0,0,1943-08-06
"NJG 3",1,"NJG",114,26,5,1,0,0,0,0,0,1943-08-06
"NJG 4",1,"NJG",217,19,14,3,0,0,0,0,0,1943-08-06
"NJG 5",1,"NJG",101,16,7,1,0,0,0,0,0,1943-08-06
"NJG 6",1,"NJG",4,1,0,0,0,0,0,0,0,1943-08-06
"Schl.G 1",0,"JG",4,2,0,0,0,0,0,0,0,1943-08-06
"Schl.G. 1",0,"JG",17,7,0,0,0,0,0,0,0,1943-08-06
"Schl.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-06
"SG 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-06
"SKG 10",0,"JG",3,1,0,0,0,0,0,0,0,1943-08-06
"ZG 1",1,"ZG",53,13,4,0,0,0,0,0,0,1943-08-06
"ZG 2",0,"ZG",12,2,1,0,0,0,0,0,0,1943-08-06
"ZG 26",1,"ZG",70,12,6,0,0,0,0,0,0,1943-08-06
"ZG 76",1,"ZG",61,12,7,0,0,0,0,0,0,1943-08-06
"E.Kdo 25",0,"JG",22,1,1,1,0,0,0,0,0,1943-08-07
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1943-08-07
"Jasta H.",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-07
"Jasta Hg.",0,"JG",5,1,1,0,0,0,0,0,0,1943-08-07
"JFS 5",0,"JG",16,2,2,0,0,0,0,0,0,1943-08-07
"JG 1",1,"JG",560,51,22,6,0,0,0,0,0,1943-08-07
"JG 11",1,"JG",415,30,14,4,0,0,0,0,0,1943-08-07
"JG 2",1,"JG",952,63,40,14,0,0,0,0,0,1943-08-07
"JG 26",1,"JG",1045,64,46,17,0,0,0,0,0,1943-08-07
"JG 27",0,"JG",209,19,9,2,0,0,0,0,0,1943-08-07
"JG 27",1,"JG",564,43,33,8,0,0,0,0,0,1943-08-07
"JG 3",0,"JG",271,3,3,2,0,0,0,0,0,1943-08-07
"JG 3",1,"JG",2747,103,85,37,0,0,0,0,0,1943-08-07
"JG 4",1,"JG",71,6,3,2,0,0,0,0,0,1943-08-07
"JG 5",0,"JG",289,35,19,4,0,0,0,0,0,1943-08-07
"JG 51",0,"JG",3025,173,130,49,0,2,0,2,14,1943-08-07
"JG 52",0,"JG",2472,112,82,37,0,1,1,1,20,1943-08-07
"JG 53",0,"JG",946,74,43,16,0,0,0,0,0,1943-08-07
"JG 54",0,"JG",1906,83,67,30,0,0,1,0,6,1943-08-07
"JG 54",1,"JG",274,19,16,4,0,0,0,0,0,1943-08-07
"JG 77",0,"JG",1616,95,59,21,0,1,0,1,2,1943-08-07
"JGr. Ost",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-07
"Kdo.Herr.",0,"JG",14,9,0,0,0,0,0,0,0,1943-08-07
"KG 40",0,"JG",53,13,5,0,0,0,0,0,0,1943-08-07
"LG 2",0,"JG",22,6,2,0,0,0,0,0,0,1943-08-07
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-07
"NAG 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-07
"NAG 4",0,"JG",11,1,1,0,0,0,0,0,0,1943-08-07
"NAGr. 4",0,"JG",4,2,0,0,0,0,0,0,0,1943-08-07
"NJG 1",1,"NJG",957,64,48,15,0,0,0,0,0,1943-08-07
"NJG 100",0,"NJG",24,3,2,0,0,0,0,0,0,1943-08-07
"NJG 101",0,"NJG",6,2,1,0,0,0,0,0,0,1943-08-07
"NJG 2",1,"NJG",81,12,8,0,0,0,0,0,0,1943-08-07
"NJG 200 (ZG 1)",0,"ZG",18,1,1,0,0,0,0,0,0,1943-08-07
"NJG 3",1,"NJG",114,26,5,1,0,0,0,0,0,1943-08-07
"NJG 4",1,"NJG",217,19,14,3,0,0,0,0,0,1943-08-07
"NJG 5",1,"NJG",103,16,7,1,0,0,0,0,1,1943-08-07
"NJG 6",1,"NJG",4,1,0,0,0,0,0,0,0,1943-08-07
"Schl.G 1",0,"JG",4,2,0,0,0,0,0,0,0,1943-08-07
"Schl.G. 1",0,"JG",17,7,0,0,0,0,0,0,0,1943-08-07
"Schl.G. 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-07
"SG 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-07
"SKG 10",0,"JG",3,1,0,0,0,0,0,0,0,1943-08-07
"ZG 1",1,"ZG",53,13,4,0,0,0,0,0,0,1943-08-07
"ZG 2",0,"ZG",12,2,1,0,0,0,0,0,0,1943-08-07
"ZG 26",1,"ZG",70,12,6,0,0,0,0,0,0,1943-08-07
"ZG 76",1,"ZG",61,12,7,0,0,0,0,0,0,1943-08-07
"E.Kdo 25",0,"JG",22,1,1,1,0,0,0,0,0,1943-08-08
"Fhr.d.JagdKr.",0,"JG",6,1,1,0,0,0,0,0,0,1943-08-08
"Jasta H.",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-08
"Jasta Hg.",0,"JG",5,1,1,0,0,0,0,0,0,1943-08-08
"JFS 5",0,"JG",16,2,2,0,0,0,0,0,0,1943-08-08
"JG 1",1,"JG",560,51,22,6,0,0,0,0,0,1943-08-08
"JG 11",1,"JG",415,30,14,4,0,0,0,0,0,1943-08-08
"JG 2",1,"JG",952,63,40,14,0,0,0,0,0,1943-08-08
"JG 26",1,"JG",1045,64,46,17,0,0,0,0,0,1943-08-08
"JG 27",0,"JG",209,19,9,2,0,0,0,0,0,1943-08-08
"JG 27",1,"JG",564,43,33,8,0,0,0,0,0,1943-08-08
"JG 3",0,"JG",271,3,3,2,0,0,0,0,0,1943-08-08
"JG 3",1,"JG",2747,103,85,37,0,0,0,0,0,1943-08-08
"JG 4",1,"JG",71,6,3,2,0,0,0,0,0,1943-08-08
"JG 5",0,"JG",289,35,19,4,0,0,0,0,0,1943-08-08
"JG 51",0,"JG",2981,171,128,48,0,0,0,0,10,1943-08-08
"JG 52",0,"JG",2417,111,81,36,0,1,0,1,18,1943-08-08
"JG 53",0,"JG",946,74,43,16,0,0,0,0,0,1943-08-08
"JG 54",0,"JG",1909,83,67,30,0,0,0,0,2,1943-08-08
"JG 54",1,"JG",274,19,16,4,0,0,0,0,0,1943-08-08
"JG 77",0,"JG",1608,94,58,21,0,0,0,0,0,1943-08-08
"JGr. Ost",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-08
"Kdo.Herr.",0,"JG",14,9,0,0,0,0,0,0,0,1943-08-08
"KG 40",0,"JG",53,13,5,0,0,0,0,0,0,1943-08-08
"LG 2",0,"JG",22,6,2,0,0,0,0,0,0,1943-08-08
"Nacht-aufkl. St.",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-08
"NAG 2",0,"JG",1,1,0,0,0,0,0,0,0,1943-08-08
"NAG 4",0,"JG",11,1,1,0,0,0,0,0,0,1943-08-08
"NAGr. 4",0,"JG",4,2,0,0,0,0,0,0,0,1943-08-08
"NJG 1",1,"NJG",957,64,48,15,0,0,0,0,0,1943-08-08
"NJG 100",0,"NJG",24,3,2,0,0,0,0,0,0,1943-08-08
"NJG 101",0,"NJG",6,2,1,0,0,0,0,0,0,1943-08-08
